Módulo,Variable,Etiqueta
Salud adultos,a0404,¿Actualmente toma alguna medicina (pastillas) para controlar su presión alta?
Salud adultos,a0404a,¿Cuánto gasta usualmente por sus pastillas para controlar su presión alta un mes?
Salud adultos,a0405a,¿Cuánto tiempo tiene tomando este medicamento? Años
Salud adultos,a0405aa,"4.5a En los últimos tres meses ¿ha dejado de tomar algún(os) de los medicamentos para su presión, al menos 1 día?"
Salud adultos,a0405b,4.5b ¿Por cuánto tiempo ha dejado de tomar el medicamento?
Salud adultos,a0405c,4.5c ¿Cuál fue la causa principal de haber dejado de tomar sus medicamentos?
Salud adultos,a0405m,¿Cuánto tiempo tiene tomando este medicamento? Meses
Salud adultos,a0406,"En los últimos 12 meses, ¿cuántas veces acudió al médico para controlar su hipertensión (sin contar las visitas al servicio de urgencias)?"
Salud adultos,a0406b,¿Cuánto pagó la última vez que acudió al médico para controlar su hipertensión?
Salud adultos,a0406e,"4.6e En los últimos 12 meses, ¿cuántas veces estuvo hospitalizado(a) debido al descontrol de su hipertensión?"
Salud adultos,a0407,¿En dónde se atiende principalmente para controlar su presión alta?
Salud adultos,a0407esp,¿En dónde se atiende principalmente para controlar su presión alta? Especifique
Salud adultos,a0409,"En los últimos 12 meses, ¿cada cuándo le tomaron la presión?"
Salud adultos,a0409a,¿Cuántas veces?
Salud adultos,a0410a,¿Debido a la hipertensión ha sufrido daño en la retina?
Salud adultos,a0410b,¿Debido a la hipertensión le han hecho diálisis?
Salud adultos,a0410c,¿Debido a la hipertensión ha sufrido de un infarto al corazón?
Salud adultos,a0410d,¿Debido a la hipertensión ha tenido un infarto o embolia cerebral?
Salud adultos,a0410e,¿Debido a la hipertensión ha acudido a un servicio de urgencias en el último año?
Salud adultos,a0410ev,¿Cuántas veces?
Salud adultos,a0410f,¿Debido a la hipertensión ha estado hospitalizado por más de 24 horas en el último año?
Salud adultos,a0410fd,¿Cuántos días en total en el último año?
Salud adultos,a0410fv,¿Cuántas veces?
Salud adultos,a0502a,¿Le ha dicho el médico que usted tiene (o tuvo) un infarto o ataque al corazón?
Salud adultos,a0502b,"¿Le ha dicho el médico que usted tiene (o tuvo) angina de pecho (dolor o molestia en el pecho, que desaparece regularmente de forma espontánea con el reposo o con medicinas?"
Salud adultos,a0502c,"¿Le ha dicho el médico que usted tiene (o tuvo) insuficiencia cardiaca (debilitamiento de la capacidad de bombeo del corazón, que provoca edema en pies, tobillos y piernas, cansancio y falta de aire)?"
Salud adultos,a0502d,¿Le ha dicho el médico que usted tiene (o tuvo) embolia o un infarto cerebral?
Salud adultos,a0601a,"¿Alguna vez un médico le ha dicho que padece de alguna enfermedad del riñón, como infección de vías urinarias en más de una ocasión?"
Salud adultos,a0601b,"¿Alguna vez un médico le ha dicho que padece de alguna enfermedad del riñón, como cálculos renales?"
Salud adultos,a0601c,"¿Alguna vez un médico le ha dicho que padece de alguna enfermedad del riñón, como insuficiencia renal o enfermedad renal crónica?"
Salud adultos,a0603,¿Le han medido alguna vez la concentración de colesterol y triglicéridos?
Salud adultos,a0604,¿Algún médico le ha dicho que tiene el colesterol alto?
Salud adultos,a0606,¿Algún médico le ha dicho que tiene los triglicéridos altos?
Salud adultos,a0607a,"Sí toma algún medicamento, ¿Normalmente cuánto paga en un mes por sus medicamentos para el colesterol y/o triglicéridos?"
Salud adultos,a0701h,¿Su HERMANO(A) tiene o tuvo diabetes o azúcar alta en la sangre?
Salud adultos,a0701m,¿Su MADRE tiene o tuvo diabetes o azúcar alta en la sangre?
Salud adultos,a0701p,¿Su PADRE tiene o tuvo diabetes o azúcar alta en la sangre?
Salud adultos,a0702h,¿Su HERMANO(A) tiene o tuvo hipertensión o presión alta?
Salud adultos,a0702m,¿Su MADRE tiene o tuvo hipertensión o presión alta?
Salud adultos,a0702p,¿Su PADRE tiene o tuvo hipertensión o presión alta?
Salud adultos,a0703h,¿Su HERMANO(A)  tuvo un infarto?
Salud adultos,a0703m,¿Su MADRE  tuvo un infarto?
Salud adultos,a0703p,¿Su PADRE  tuvo un infarto?
Salud adultos,a0704h,¿A qué edad su HERMANO(A) tuvo su primer infarto?
Salud adultos,a0704m,¿A qué edad su MADRE tuvo su primer infarto?
Salud adultos,a0704p,¿A qué edad su PADRE tuvo su primer infarto?
Salud adultos,a07her,Tiene/Tuvo usted hermanos(as)
Salud adultos,a0801,¿A qué edad tuvo su primera relación sexual?
Salud adultos,a0802,¿Qué edad tenía su pareja en su primera relación sexual?
Salud adultos,a0805,¿Y además utilizaron condón masculino?
Salud adultos,a0806,¿A qué edad tuvo su primera regla o menstruación?
Salud adultos,a0807,¿Alguna vez ha estado embarazada?
Salud adultos,a0808,¿Está actualmente embarazada?
Salud adultos,a0809,¿Cuántos embarazos en total ha tenido?
Salud adultos,a0810a,¿De estos embarazos cuántos han sido pérdidas o abortos?
Salud adultos,a0810ad,¿Cuántos han fallecido Antes de cumplir un año de edad?
Salud adultos,a0810ae,¿Cuántos han fallecido Después de cumplir un año de edad?
Salud adultos,a0810b,¿De estos embarazos cuántos han sido nacidos muertos?
Salud adultos,a0810c,¿De estos embarazos cuántos han sido nacidos vivos?
Salud adultos,a0811a,"¿En qué día, mes y año  nació su último(a) hijo(a) nacido(a) vivo(a) y que sigue vivo(a) AÑO?"
Salud adultos,a0811d,"¿En qué día, mes y año  nació su último(a) hijo(a) nacido(a) vivo(a) y que sigue vivo(a) DIA?"
Salud adultos,a0811m,"¿En qué día, mes y año  nació su último(a) hijo(a) nacido(a) vivo(a) y que sigue vivo(a) MES?"
Salud adultos,a0812,En total ¿cuántas veces la revisaron durante su último embarazo?
Salud adultos,a0813,¿En qué institución o lugar la revisaron la mayoría de las veces durante este embarazo?
Salud adultos,a0813esp,¿En qué institución o lugar la revisaron la mayoría de las veces durante este embarazo? Especifique
Salud adultos,a0814,¿Cuántos meses de embarazo tenía cuando la revisaron por primera vez?
Salud adultos,a0815a,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez la midieron?"
Salud adultos,a0815b,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez la pesaron?"
Salud adultos,a0815c,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le tomaron la presión arterial?"
Salud adultos,a0815d,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron examen(es) general(es) de orina?"
Salud adultos,a0815e,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron examen(es) de sangre?"
Salud adultos,a0815f,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le midieron su nivel de azúcar en sangre?"
Salud adultos,a0815g,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron la prueba de detección de sífilis (VRDL)?"
Salud adultos,a0815h,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le realizaron la prueba para detectar Virus de Inmunodeficiencia Humana (VIH)?"
Salud adultos,a0815i,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le hicieron un ultrasonido?"
Salud adultos,a0815j,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez la vacunaron contra el tétanos?"
Salud adultos,a0815k,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le mandaron ácido fólico?"
Salud adultos,a0815l,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le mandaron vitaminas, hierro, o algún  suplemento alimenticio?"
Salud adultos,a0815m,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le ofrecieron algún servicio de detección o atención para la salud mental (ansiedad, depresión)?"
Salud adultos,a0815n,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le ofrecieron algún método anticonceptivo para cuando terminara su embarazo?"
Salud adultos,a0815o,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le enseñaron o explicaron cómo dar a su bebé leche materna?"
Salud adultos,a0815p,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le midieron la panza (fondo uterino)?"
Salud adultos,a0815q,"Durante el embarazo, cuando visitó al médico, enfermera o algún otro personal de salud, ¿Se le realizó algo de lo siguiente al menos una vez le aplicaron la vacuna Tdap (contra tosferina)?"
Salud adultos,a0816,¿En dónde la atendieron de su último parto?
Salud adultos,a0816esp,¿En dónde la atendieron de su último parto? Especifique
Salud adultos,a0817,¿Su último parto fue..
Salud adultos,a0818,"Inmediatamente después del nacimiento, ¿pusieron a su último(a) hijo(a) desnudo directamente sobre la piel desnuda de su pecho?"
Salud adultos,a0819f,¿Cuánto pesó al nacer su último(a) hijo(a)?  ¿De dónde obtuvo la información?
Salud adultos,a0819k,¿Cuánto pesó al nacer su último(a) hijo(a)?  Kg
Salud adultos,a0821a,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de hemorragia?
Salud adultos,a0821b,"En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de preeclampsia, eclampsia? (es decir, la presión alta durante el embarazo o poco después del parto)"
Salud adultos,a0821c,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de infecciones?
Salud adultos,a0821d,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de trombosis o coágulos?
Salud adultos,a0821e,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre nutrición?
Salud adultos,a0821f,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre lactancia materna?
Salud adultos,a0821g,"En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre higiene, sobre todo lavado de manos?"
Salud adultos,a0821h,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre anticoncepción?
Salud adultos,a0821i,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre signos y síntomas de la depresión post natal o post parto?
Salud adultos,a0821j,En la primera semana después del parto de su último(a) hijo(a) ¿algún profesional de la salud le dio información sobre la importancia de que el bebé duerma boca arriba?
Salud adultos,a0822,"Después del nacimiento de su último(a) hijo(a), ¿le proporcionaron un método anticonceptivo?"
Salud adultos,a0823,¿Qué método anticonceptivo le proporcionaron?
Salud adultos,a0824,"Sin decirme el resultado, en los últimos 12 meses ¿ le hicieron una prueba para detectar inmunodeficiencia humana (VIH)?"
Salud adultos,a0825,Sin decirme el resultado de la prueba ¿lo recibió?
Salud adultos,a0901,"¿Me puede mostrar su Cartilla Nacional de Salud (Hombre o Mujer de 20 a 59 años), el documento probatorio o comprobante en el que le registran las vacunas que le han aplicado?"
Salud adultos,a0902,¿Por qué no tiene la cartilla?
Salud adultos,a0903,¿Por qué no tiene información registrada en su cartilla?
Salud adultos,a0904,"Desde sus 20 años de edad, ¿le han aplicado la vacuna contra el Sarampión y la Rubéola (SR)? (para personas entre 20 a 39 años)"
Salud adultos,a0906,"En los últimos 10 años, ¿le han aplicado la vacuna contra el Tétanos?"
Salud adultos,a0908,"A partir de septiembre del año pasado y hasta el día de hoy, ¿le han aplicado la vacuna contra la Influenza"
Salud adultos,a09091a,Sarampión y Rubéola (SR) Primera dosis dosis administrada.
Salud adultos,a09091bd,Sarampión y Rubéola (SR) Primera dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09092a,Sarampión y Rubéola (SR) Segunda dosis dosis administrada.
Salud adultos,a09092bd,Sarampión y Rubéola (SR) Segunda dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09093a,Sarampión y Rubéola (SR) Tercera dosis dosis administrada.
Salud adultos,a09093bd,Sarampión y Rubéola (SR) Tercera dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09101a,Td (tétanos y difteria) Refuerzo administrada.
Salud adultos,a09101bd,Td (tétanos y difteria) Refuerzo Fecha aplicación (ddmmaaaa).
Salud adultos,a09102a,Td (tétanos y difteria) Primera dosis dosis administrada.
Salud adultos,a09102bd,Td (tétanos y difteria) Primera dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09103a,Td (tétanos y difteria) Segunda dosis dosis administrada.
Salud adultos,a09103bd,Td (tétanos y difteria) Segunda dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09104a,Td (tétanos y difteria) Tercera dosis dosis administrada.
Salud adultos,a09104bd,Td (tétanos y difteria) Tercera dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09111a,Tdpa Única dosis administrada.
Salud adultos,a09111bd,Tdpa Única dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09121a,Influenza estacional Factores de Riesgo dosis administrada.
Salud adultos,a09121bd,Influenza estacional Factores de Riesgo dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09122a,Influenza estacional Embarazadas Única dosis administrada.
Salud adultos,a09122bd,Influenza estacional Embarazadas Única dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09131bd,Otras Vacunas 1 Fecha aplicación (ddmmaaaa).
Salud adultos,a09131ed,Otras Vacunas 1 Edad
Salud adultos,a09131nom,Otras Vacunas 1 Nombre
Salud adultos,a09132bd,Otras Vacunas 2 Fecha aplicación (ddmmaaaa).
Salud adultos,a09132edad,Otras Vacunas 2 Edad
Salud adultos,a09132nom,Otras Vacunas 2 Nombre
Salud adultos,a09133bd,Otras Vacunas 3 Única dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09133ed,Otras Vacunas 3 Edad
Salud adultos,a09133nom,Otras Vacunas 3 Nombre
Salud adultos,a09134bd,Otras Vacunas 4 Única dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09134ed,Otras Vacunas 4 Edad
Salud adultos,a09134nom,Otras Vacunas 4 Nombre
Salud adultos,a09135bd,Otras Vacunas 5 Única dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09135ed,Otras Vacunas 5 Edad
Salud adultos,a09135nom,Otras Vacunas 5 Nombre
Salud adultos,a0914,"¿Me puede mostrar su Cartilla Nacional de Salud del Adulto Mayor (personas de 60 años y más), el documento probatorio o comprobante en el que le registran las vacunas que le han aplicado?"
Salud adultos,a0915,¿Por qué no tiene la cartilla?
Salud adultos,a0916,¿Por qué no tiene información registrada en su cartilla?
Salud adultos,a0917,¿Le han aplicado la vacuna contra el Neumococo?
Salud adultos,a0918,¿Cuántas veces le han aplicado la vacuna contra el Neumococo?
Salud adultos,a0919,"9.19A En los últimos 10 años, ¿le han aplicado la vacuna contra el Tétanos?"
Salud adultos,a0920,¿Cuántas veces se le han aplicado la vacuna contra el Tétanos?
Salud adultos,a0921,"A partir de septiembre del año pasado y hasta el día de hoy, ¿le han aplicado la vacuna contra la Influenza?"
Salud adultos,a09221a,Neumocócica Polisacárida Dosis Unica (Neumonía por neumococo) administrada.
Salud adultos,a09221bd,Neumocócica Polisacárida Dosis Unica (Neumonía por neumococo) Fecha aplicación (ddmmaaaa).
Salud adultos,a09222a,Neumocócica Polisacárida dosis Inicial (Neumonía por neumococo) administrada.
Salud adultos,a09222bd,Neumocócica Polisacárida dosis Inicial (Neumonía por neumococo) Fecha aplicación (ddmmaaaa).
Salud adultos,a09223a,Neumocócica Polisacárida Revacunación única (Neumonía por neumococo) administrada.
Salud adultos,a09223bd,Neumocócica Polisacárida Revacunación única (Neumonía por neumococo) Fecha aplicación (ddmmaaaa).
Salud adultos,a09231a,Td (tétanos y difteria) Refuerzo administrada.
Salud adultos,a09231bd,Td (tétanos y difteria) Refuerzo Fecha aplicación (ddmmaaaa).
Salud adultos,a09232a,Td (tétanos y difteria) Primera dosis dosis administrada.
Salud adultos,a09232bd,Td (tétanos y difteria) Primera dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09233a,Td (tétanos y difteria) Segunda dosis dosis administrada.
Salud adultos,a09233bd,Td (tétanos y difteria) Segunda dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09234a,Td (tétanos y difteria) Tercera dosis dosis administrada.
Salud adultos,a09234bd,Td (tétanos y difteria) Tercera dosis dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09241a,Influenza estacional ( De septiembre de 2017 a la fecha) Única dosis administrada.
Salud adultos,a09241bd,Influenza estacional ( De septiembre de 2017 a la fecha) Única dosis Fecha aplicación (ddmmaaaa).
Salud adultos,a09251bd,Otras Vacunas 1 Fecha aplicación (ddmmaaaa).
Salud adultos,a09251ed,Otras Vacunas 1 Edad
Salud adultos,a09251nom,Otras Vacunas 1 Nombre
Salud adultos,a09252bd,Otras Vacunas 2 Fecha aplicación (ddmmaaaa).
Salud adultos,a09252ed,Otras Vacunas 2 Edad
Salud adultos,a09252nom,Otras Vacunas 2 Nombre
Salud adultos,a09253bd,Otras Vacunas 3 Fecha aplicación (ddmmaaaa).
Salud adultos,a09253ed,Otras Vacunas 3 Edad
Salud adultos,a09253nom,Otras Vacunas 3 Nombre
Salud adultos,a09254bd,Otras Vacunas 4 Fecha aplicación (ddmmaaaa).
Salud adultos,a09254ed,Otras Vacunas 4 Edad
Salud adultos,a09254nom,Otras Vacunas 4 Nombre
Salud adultos,a09255bd,Otras Vacunas 5 Fecha aplicación (ddmmaaaa).
Salud adultos,a09255ed,Otras Vacunas 5 Edad
Salud adultos,a09255nom,Otras Vacunas 5 Nombre
Salud adultos,a0995,¿Cuántas veces se la han aplicado?
Salud adultos,a0997,¿Cuántas veces se la han aplicado?
Salud adultos,a1001a,"A1001A Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó… a) prueba de papanicolaou?"
Salud adultos,a1001ab,A1001AB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001b,"A1001B Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó… b) prueba del virus del papiloma?"
Salud adultos,a1001bb,A1001BB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001c,"A1001C Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó…c)exploración clínica de los senos?"
Salud adultos,a1001cb,A1001CB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001d,"A1001D Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó…d) detección de cáncer de mama?"
Salud adultos,a1001db,A1001DB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001f,"A1001F Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó…f) detección de sobrepeso u obesidad?"
Salud adultos,a1001f1,"A1001F1 Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó… f.1) medición del perímetro de la cintura?"
Salud adultos,a1001f1b,A1001F1B b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001fb,A1001FB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001g,"A1001G Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó… g) detección de diabetes?"
Salud adultos,a1001gb,A1001GB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001h,"A1001H Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó… h) detección de hipertensión?"
Salud adultos,a1001hb,A1001HB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001i,"A1001I Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó… i) detección de colesterol o triglicéridos altos (examen de sangre)?"
Salud adultos,a1001ib,A1001IB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1001j,"A1001J Durante los últimos 12 meses, un médico u otro profesional de la salud le realizó…j) detección de cáncer de próstata (análisis de sangre para detectar antígenos prostáticos)?"
Salud adultos,a1001jb,A1001JB b) ¿Por qué no le realizaron la detección?
Salud adultos,a1002a,A1002A ¿En qué institución le dieron servicio?
Salud adultos,a1002ae,A1002AE Especifique:
Salud adultos,a1002b,A1002B ¿En qué institución le dieron servicio?
Salud adultos,a1002be,A1002BE Especifique:
Salud adultos,a1002c,A1002C ¿En qué institución le dieron servicio?
Salud adultos,a1002ce,A1002CE Especifique:
Salud adultos,a1002d,A1002D ¿En qué institución le dieron servicio?
Salud adultos,a1002de,A1002DE Especifique:
Salud adultos,a1002f,A1002F ¿En qué institución le dieron servicio?
Salud adultos,a1002f1,A1002F1 ¿En qué institución le dieron servicio?
Salud adultos,a1002f1e,A1002F1E Especifique:
Salud adultos,a1002fe,A1002FE Especifique:
Salud adultos,a1002g,A1002G ¿En qué institución le dieron servicio?
Salud adultos,a1002ge,A1002GE Especifique:
Salud adultos,a1002h,A1002H ¿En qué institución le dieron servicio?
Salud adultos,a1002he,A1002HE Especifique:
Salud adultos,a1002i,A1002I ¿En qué institución le dieron servicio?
Salud adultos,a1002ie,A1002IE Especifique:
Salud adultos,a1002j,A1002J ¿En qué institución le dieron servicio?
Salud adultos,a1002je,A1002JE Especifique:
Salud adultos,a1003a,A1003A ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003b,A1003B ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003c,A1003C ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003d,A1003D ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003f,A1003F ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003f1,A1003F1 ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003g,A1003G ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003h,A1003H ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003i,A1003I ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1003j,A1003J ¿Presentaba algún síntoma por el que le realizaron la prueba de detección?
Salud adultos,a1004a,A1004A ¿Le entregaron el resultado del estudio?
Salud adultos,a1004b,A1004B ¿Le entregaron el resultado del estudio?
Salud adultos,a1004c,A1004C ¿Le entregaron el resultado del estudio?
Salud adultos,a1004d,A1004D ¿Le entregaron el resultado del estudio?
Salud adultos,a1004f,A1004F ¿Le entregaron el resultado del estudio?
Salud adultos,a1004f1,A1004F1 ¿Le entregaron el resultado del estudio?
Salud adultos,a1004g,A1004G ¿Le entregaron el resultado del estudio?
Salud adultos,a1004h,A1004H ¿Le entregaron el resultado del estudio?
Salud adultos,a1004i,A1004I ¿Le entregaron el resultado del estudio?
Salud adultos,a1004j,A1004J ¿Le entregaron el resultado del estudio?
Salud adultos,a1005a,A1005A ¿Qué diagnóstico le dieron?
Salud adultos,a1005b,A1005B ¿Qué diagnóstico le dieron?
Salud adultos,a1005c,A1005C ¿Qué diagnóstico le dieron?
Salud adultos,a1005d,A1005D ¿Qué diagnóstico le dieron?
Salud adultos,a1005f,A1005F ¿Qué diagnóstico le dieron?
Salud adultos,a1005f1,A1005F1 ¿Qué diagnóstico le dieron?
Salud adultos,a1005g,A1005G ¿Qué diagnóstico le dieron?
Salud adultos,a1005h,A1005H ¿Qué diagnóstico le dieron?
Salud adultos,a1005i,A1005I ¿Qué diagnóstico le dieron?
Salud adultos,a1005j,A1005J ¿Qué diagnóstico le dieron?
Salud adultos,a1006a,A1006A ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006ab,A1006AB b) ¿Qué tratamiento recibió?
Salud adultos,a1006abe,A1006ABE Especifique:
Salud adultos,a1006b,A1006B ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006bb,A1006BB ¿Qué tratamiento recibió?
Salud adultos,a1006bbe,A1006BBE Especifique:
Salud adultos,a1006c,A1006C ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006cb,A1006CB ¿Qué tratamiento recibió?
Salud adultos,a1006cbe,A1006CBE Especifique:
Salud adultos,a1006d,A1006D ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006db,A1006DB ¿Qué tratamiento recibió?
Salud adultos,a1006dbe,A1006DBE Especifique:
Salud adultos,a1006f,A1006F ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006f1,A1006F1 ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006f1b,A1006F1B ¿Qué tratamiento recibió?
Salud adultos,a1006f1be,A1006F1BE Especifique:
Salud adultos,a1006fb,A1006FB ¿Qué tratamiento recibió?
Salud adultos,a1006fbe,A1006FBE Especifique:
Salud adultos,a1006g,A1006G ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006gb,A1006GB ¿Qué tratamiento recibió?
Salud adultos,a1006gbe,A1006GBE Especifique:
Salud adultos,a1006h,A1006H ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006hb,A1006HB ¿Qué tratamiento recibió?
Salud adultos,a1006hbe,A1006HBE Especifique:
Salud adultos,a1006i,A1006I ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006ib,A1006IB ¿Qué tratamiento recibió?
Salud adultos,a1006ibe,A1006IBE Especifique:
Salud adultos,a1006j,A1006J ¿Recibió tratamiento médico para este diagnóstico?
Salud adultos,a1006jb,A1006JB ¿Qué tratamiento recibió?
Salud adultos,a1006jbe,A1006JBE Especifique:
Salud adultos,a1007a,A1007A ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007b,A1007B ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007c,A1007C ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007d,A1007D ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007f,A1007F ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007f1,A1007F1 ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007g,A1007G ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007h,A1007H ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007i,A1007I ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1007j,A1007J ¿Cuál es la causa por la que no recibió tratamiento?
Salud adultos,a1008a,A1008A ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008b,A1008B ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008c,A1008C ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008d,A1008D ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008f,A1008F ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008f1,A1008F1 ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008g,A1008G ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008h,A1008H ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008i,A1008I ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1008j,A1008J ¿Ha tenido consultas de seguimiento a partir de su diagnóstico o de su tratamiento?
Salud adultos,a1101,A1101 ¿Sufrió usted algún daño a su salud a causa de un accidente en los últimos 12 meses?
